date,closing quotation,opening quotation,high,low,price change
1981/1/5,1.5418,1.5418,1.5418,1.5418,0.005
1981/1/6,1.5264,1.5264,1.5264,1.5264,-0.01
1981/1/7,1.5264,1.5264,1.5264,1.5264,0
1981/1/8,1.5264,1.5264,1.5264,1.5264,0
1981/1/9,1.5371,1.5371,1.5371,1.5371,0.007
1981/1/12,1.5371,1.5371,1.5371,1.5371,0
1981/1/13,1.5449,1.5449,1.5449,1.5449,0.0051
1981/1/14,1.5449,1.5449,1.5449,1.5449,0
1981/1/15,1.5449,1.5449,1.5449,1.5449,0
1981/1/16,1.5557,1.5557,1.5557,1.5557,0.007
1981/1/19,1.5557,1.5557,1.5557,1.5557,0
1981/1/20,1.5557,1.5557,1.5557,1.5557,0
1981/1/21,1.5557,1.5557,1.5557,1.5557,0
1981/1/22,1.551,1.551,1.551,1.551,-0.003
1981/1/23,1.551,1.551,1.551,1.551,0
1981/1/26,1.5634,1.5634,1.5634,1.5634,0.008
1981/1/27,1.5759,1.5759,1.5759,1.5759,0.008
1981/1/28,1.5822,1.5822,1.5822,1.5822,0.004
1981/1/29,1.5886,1.5886,1.5886,1.5886,0.004
1981/1/30,1.5886,1.5886,1.5886,1.5886,0
1981/2/2,1.6108,1.6108,1.6108,1.6108,0.014
1981/2/3,1.6108,1.6108,1.6108,1.6108,0
1981/2/4,1.6028,1.6028,1.6028,1.6028,-0.005
1981/2/5,1.6028,1.6028,1.6028,1.6028,0
1981/2/6,1.6028,1.6028,1.6028,1.6028,0
1981/2/9,1.6059,1.6059,1.6059,1.6059,0.0019
1981/2/10,1.6059,1.6059,1.6059,1.6059,0
1981/2/11,1.6059,1.6059,1.6059,1.6059,0
1981/2/13,1.6285,1.6285,1.6285,1.6285,0.0141
1981/2/17,1.6579,1.6579,1.6579,1.6579,0.0181
1981/2/18,1.6298,1.6298,1.6298,1.6298,-0.0169
1981/2/19,1.6298,1.6298,1.6298,1.6298,0
1981/2/20,1.6021,1.6021,1.6021,1.6021,-0.017
1981/2/23,1.5909,1.5909,1.5909,1.5909,-0.007
1981/2/24,1.6099,1.6099,1.6099,1.6099,0.0119
1981/2/25,1.6035,1.6035,1.6035,1.6035,-0.004
1981/2/26,1.6179,1.6179,1.6179,1.6179,0.009
1981/2/27,1.6179,1.6179,1.6179,1.6179,0
1981/3/2,1.6293,1.6293,1.6293,1.6293,0.007
1981/3/3,1.6456,1.6456,1.6456,1.6456,0.01
1981/3/4,1.6374,1.6374,1.6374,1.6374,-0.005
1981/3/5,1.6456,1.6456,1.6456,1.6456,0.005
1981/3/6,1.6456,1.6456,1.6456,1.6456,0
1981/3/9,1.6456,1.6456,1.6456,1.6456,0
1981/3/10,1.6407,1.6407,1.6407,1.6407,-0.003
1981/3/11,1.6407,1.6407,1.6407,1.6407,0
1981/3/12,1.6407,1.6407,1.6407,1.6407,0
1981/3/13,1.6407,1.6407,1.6407,1.6407,0
1981/3/16,1.6402,1.6402,1.6402,1.6402,-0.0003
1981/3/17,1.6309,1.6309,1.6309,1.6309,-0.0057
1981/3/18,1.6227,1.6227,1.6227,1.6227,-0.005
1981/3/19,1.6049,1.6049,1.6049,1.6049,-0.011
1981/3/20,1.6129,1.6129,1.6129,1.6129,0.005
1981/3/23,1.6129,1.6129,1.6129,1.6129,0
1981/3/24,1.6209,1.6209,1.6209,1.6209,0.005
1981/3/25,1.6209,1.6209,1.6209,1.6209,0
1981/3/26,1.6209,1.6209,1.6209,1.6209,0
1981/3/27,1.6372,1.6372,1.6372,1.6372,0.0101
1981/3/30,1.6372,1.6372,1.6372,1.6372,0
1981/3/31,1.6165,1.6165,1.6165,1.6165,-0.0126
1981/4/1,1.6337,1.6337,1.6337,1.6337,0.0106
1981/4/2,1.6337,1.6337,1.6337,1.6337,0
1981/4/3,1.6418,1.6418,1.6418,1.6418,0.005
1981/4/6,1.65,1.65,1.65,1.65,0.005
1981/4/7,1.6599,1.6599,1.6599,1.6599,0.006
1981/4/8,1.6483,1.6483,1.6483,1.6483,-0.007
1981/4/9,1.6483,1.6483,1.6483,1.6483,0
1981/4/10,1.6565,1.6565,1.6565,1.6565,0.005
1981/4/13,1.6565,1.6565,1.6565,1.6565,0
1981/4/14,1.6682,1.6682,1.6682,1.6682,0.0071
1981/4/15,1.6682,1.6682,1.6682,1.6682,0
1981/4/16,1.6798,1.6798,1.6798,1.6798,0.007
1981/4/17,1.6798,1.6798,1.6798,1.6798,0
1981/4/20,1.6798,1.6798,1.6798,1.6798,0
1981/4/21,1.6798,1.6798,1.6798,1.6798,0
1981/4/22,1.6798,1.6798,1.6798,1.6798,0
1981/4/23,1.6798,1.6798,1.6798,1.6798,0
1981/4/24,1.6798,1.6798,1.6798,1.6798,0
1981/4/27,1.6798,1.6798,1.6798,1.6798,0
1981/4/28,1.6798,1.6798,1.6798,1.6798,0
1981/4/29,1.6798,1.6798,1.6798,1.6798,0
1981/4/30,1.6882,1.6882,1.6882,1.6882,0.005
1981/5/1,1.6882,1.6882,1.6882,1.6882,0
1981/5/4,1.6882,1.6882,1.6882,1.6882,0
1981/5/5,1.7085,1.7085,1.7085,1.7085,0.012
1981/5/6,1.717,1.717,1.717,1.717,0.005
1981/5/7,1.717,1.717,1.717,1.717,0
1981/5/8,1.717,1.717,1.717,1.717,0
1981/5/11,1.717,1.717,1.717,1.717,0
1981/5/12,1.7273,1.7273,1.7273,1.7273,0.006
1981/5/13,1.7273,1.7273,1.7273,1.7273,0
1981/5/14,1.7359,1.7359,1.7359,1.7359,0.005
1981/5/15,1.7359,1.7359,1.7359,1.7359,0
1981/5/18,1.7359,1.7359,1.7359,1.7359,0
1981/5/19,1.7359,1.7359,1.7359,1.7359,0
1981/5/20,1.7359,1.7359,1.7359,1.7359,0
1981/5/21,1.7272,1.7272,1.7272,1.7272,-0.005
1981/5/22,1.7429,1.7429,1.7429,1.7429,0.0091
1981/5/26,1.7392,1.7392,1.7392,1.7392,-0.0021
1981/5/27,1.748,1.748,1.748,1.748,0.0051
1981/5/28,1.748,1.748,1.748,1.748,0
1981/5/29,1.748,1.748,1.748,1.748,0
1981/6/1,1.748,1.748,1.748,1.748,0
1981/6/2,1.7567,1.7567,1.7567,1.7567,0.005
1981/6/3,1.7567,1.7567,1.7567,1.7567,0
1981/6/4,1.7672,1.7672,1.7672,1.7672,0.006
1981/6/5,1.7813,1.7813,1.7813,1.7813,0.008
1981/6/8,1.7813,1.7813,1.7813,1.7813,0
1981/6/9,1.7813,1.7813,1.7813,1.7813,0
1981/6/10,1.7742,1.7742,1.7742,1.7742,-0.004
1981/6/11,1.7813,1.7813,1.7813,1.7813,0.004
1981/6/12,1.7724,1.7724,1.7724,1.7724,-0.005
1981/6/15,1.7512,1.7512,1.7512,1.7512,-0.012
1981/6/16,1.7512,1.7512,1.7512,1.7512,0
1981/6/17,1.7512,1.7512,1.7512,1.7512,0
1981/6/18,1.7599,1.7599,1.7599,1.7599,0.005
1981/6/19,1.7599,1.7599,1.7599,1.7599,0
1981/6/22,1.7511,1.7511,1.7511,1.7511,-0.005
1981/6/23,1.7511,1.7511,1.7511,1.7511,0
1981/6/24,1.7511,1.7511,1.7511,1.7511,0
1981/6/25,1.7511,1.7511,1.7511,1.7511,0
1981/6/26,1.7511,1.7511,1.7511,1.7511,0
1981/6/29,1.7511,1.7511,1.7511,1.7511,0
1981/6/30,1.7511,1.7511,1.7511,1.7511,0
1981/7/1,1.7511,1.7511,1.7511,1.7511,0
1981/7/2,1.7616,1.7616,1.7616,1.7616,0.006
1981/7/3,1.7616,1.7616,1.7616,1.7616,0
1981/7/6,1.7616,1.7616,1.7616,1.7616,0
1981/7/7,1.7686,1.7686,1.7686,1.7686,0.004
1981/7/8,1.7686,1.7686,1.7686,1.7686,0
1981/7/9,1.7686,1.7686,1.7686,1.7686,0
1981/7/10,1.7686,1.7686,1.7686,1.7686,0
1981/7/13,1.7598,1.7598,1.7598,1.7598,-0.005
1981/7/14,1.751,1.751,1.751,1.751,-0.005
1981/7/15,1.7598,1.7598,1.7598,1.7598,0.005
1981/7/16,1.751,1.751,1.751,1.751,-0.005
1981/7/17,1.751,1.751,1.751,1.751,0
1981/7/20,1.7597,1.7597,1.7597,1.7597,0.005
1981/7/21,1.7667,1.7667,1.7667,1.7667,0.004
1981/7/22,1.7667,1.7667,1.7667,1.7667,0
1981/7/23,1.7667,1.7667,1.7667,1.7667,0
1981/7/24,1.7667,1.7667,1.7667,1.7667,0
1981/7/27,1.7667,1.7667,1.7667,1.7667,0
1981/7/28,1.7755,1.7755,1.7755,1.7755,0.005
1981/7/29,1.7755,1.7755,1.7755,1.7755,0
1981/7/30,1.7755,1.7755,1.7755,1.7755,0
1981/7/31,1.7845,1.7845,1.7845,1.7845,0.0051
1981/8/3,1.7934,1.7934,1.7934,1.7934,0.005
1981/8/4,1.8113,1.8113,1.8113,1.8113,0.01
1981/8/5,1.8113,1.8113,1.8113,1.8113,0
1981/8/6,1.8041,1.8041,1.8041,1.8041,-0.004
1981/8/7,1.8149,1.8149,1.8149,1.8149,0.006
1981/8/10,1.8367,1.8367,1.8367,1.8367,0.012
1981/8/11,1.8367,1.8367,1.8367,1.8367,0
1981/8/12,1.8092,1.8092,1.8092,1.8092,-0.015
1981/8/13,1.8092,1.8092,1.8092,1.8092,0
1981/8/14,1.8218,1.8218,1.8218,1.8218,0.007
1981/8/17,1.8,1.8,1.8,1.8,-0.012
1981/8/18,1.8,1.8,1.8,1.8,0
1981/8/19,1.791,1.791,1.791,1.791,-0.005
1981/8/20,1.791,1.791,1.791,1.791,0
1981/8/21,1.773,1.773,1.773,1.773,-0.0101
1981/8/24,1.7872,1.7872,1.7872,1.7872,0.008
1981/8/25,1.7997,1.7997,1.7997,1.7997,0.007
1981/8/26,1.7853,1.7853,1.7853,1.7853,-0.008
1981/8/27,1.7853,1.7853,1.7853,1.7853,0
1981/8/28,1.7727,1.7727,1.7727,1.7727,-0.0071
1981/8/31,1.7727,1.7727,1.7727,1.7727,0
1981/9/1,1.7815,1.7815,1.7815,1.7815,0.005
1981/9/2,1.7815,1.7815,1.7815,1.7815,0
1981/9/3,1.7673,1.7673,1.7673,1.7673,-0.008
1981/9/4,1.7673,1.7673,1.7673,1.7673,0
1981/9/8,1.7673,1.7673,1.7673,1.7673,0
1981/9/9,1.7796,1.7796,1.7796,1.7796,0.007
1981/9/10,1.7686,1.7686,1.7686,1.7686,-0.0062
1981/9/11,1.7689,1.7689,1.7689,1.7689,0.0002
1981/9/14,1.7565,1.7565,1.7565,1.7565,-0.007
1981/9/15,1.7319,1.7319,1.7319,1.7319,-0.014
1981/9/16,1.7319,1.7319,1.7319,1.7319,0
1981/9/17,1.7233,1.7233,1.7233,1.7233,-0.005
1981/9/18,1.7233,1.7233,1.7233,1.7233,0
1981/9/21,1.7233,1.7233,1.7233,1.7233,0
1981/9/22,1.7181,1.7181,1.7181,1.7181,-0.003
1981/9/23,1.7404,1.7404,1.7404,1.7404,0.013
1981/9/24,1.7492,1.7492,1.7492,1.7492,0.0051
1981/9/25,1.7579,1.7579,1.7579,1.7579,0.005
1981/9/28,1.7667,1.7667,1.7667,1.7667,0.005
1981/9/29,1.7614,1.7614,1.7614,1.7614,-0.003
1981/9/30,1.7719,1.7719,1.7719,1.7719,0.006
1981/10/1,1.7719,1.7719,1.7719,1.7719,0
1981/10/2,1.7719,1.7719,1.7719,1.7719,0
1981/10/5,1.7525,1.7525,1.7525,1.7525,-0.0109
1981/10/6,1.7525,1.7525,1.7525,1.7525,0
1981/10/7,1.7507,1.7507,1.7507,1.7507,-0.001
1981/10/8,1.7366,1.7366,1.7366,1.7366,-0.0081
1981/10/9,1.7297,1.7297,1.7297,1.7297,-0.004
1981/10/13,1.7297,1.7297,1.7297,1.7297,0
1981/10/14,1.7383,1.7383,1.7383,1.7383,0.005
1981/10/15,1.7383,1.7383,1.7383,1.7383,0
1981/10/16,1.7506,1.7506,1.7506,1.7506,0.0071
1981/10/19,1.7505,1.7505,1.7505,1.7505,-0.0001
1981/10/20,1.7505,1.7505,1.7505,1.7505,0
1981/10/21,1.7575,1.7575,1.7575,1.7575,0.004
1981/10/22,1.768,1.768,1.768,1.768,0.006
1981/10/23,1.768,1.768,1.768,1.768,0
1981/10/26,1.768,1.768,1.768,1.768,0
1981/10/27,1.7857,1.7857,1.7857,1.7857,0.01
1981/10/28,1.7857,1.7857,1.7857,1.7857,0
1981/10/29,1.7857,1.7857,1.7857,1.7857,0
1981/10/30,1.7678,1.7678,1.7678,1.7678,-0.01
1981/11/2,1.7502,1.7502,1.7502,1.7502,-0.01
1981/11/4,1.7502,1.7502,1.7502,1.7502,0
1981/11/5,1.7502,1.7502,1.7502,1.7502,0
1981/11/6,1.7502,1.7502,1.7502,1.7502,0
1981/11/9,1.7414,1.7414,1.7414,1.7414,-0.005
1981/11/10,1.7414,1.7414,1.7414,1.7414,0
1981/11/12,1.7484,1.7484,1.7484,1.7484,0.004
1981/11/13,1.7343,1.7343,1.7343,1.7343,-0.0081
1981/11/16,1.7343,1.7343,1.7343,1.7343,0
1981/11/17,1.743,1.743,1.743,1.743,0.005
1981/11/18,1.743,1.743,1.743,1.743,0
1981/11/19,1.7326,1.7326,1.7326,1.7326,-0.006
1981/11/20,1.743,1.743,1.743,1.743,0.006
1981/11/23,1.743,1.743,1.743,1.743,0
1981/11/24,1.743,1.743,1.743,1.743,0
1981/11/25,1.743,1.743,1.743,1.743,0
1981/11/27,1.7274,1.7274,1.7274,1.7274,-0.009
1981/11/30,1.7171,1.7171,1.7171,1.7171,-0.006
1981/12/1,1.7171,1.7171,1.7171,1.7171,0
1981/12/2,1.724,1.724,1.724,1.724,0.004
1981/12/3,1.724,1.724,1.724,1.724,0
1981/12/4,1.724,1.724,1.724,1.724,0
1981/12/7,1.724,1.724,1.724,1.724,0
1981/12/8,1.724,1.724,1.724,1.724,0
1981/12/9,1.736,1.736,1.736,1.736,0.007
1981/12/10,1.736,1.736,1.736,1.736,0
1981/12/11,1.736,1.736,1.736,1.736,0
1981/12/14,1.7517,1.7517,1.7517,1.7517,0.009
1981/12/15,1.7517,1.7517,1.7517,1.7517,0
1981/12/16,1.7429,1.7429,1.7429,1.7429,-0.005
1981/12/17,1.7429,1.7429,1.7429,1.7429,0
1981/12/18,1.7429,1.7429,1.7429,1.7429,0
1981/12/21,1.7569,1.7569,1.7569,1.7569,0.008
1981/12/22,1.7569,1.7569,1.7569,1.7569,0
1981/12/23,1.7499,1.7499,1.7499,1.7499,-0.004
1981/12/24,1.7499,1.7499,1.7499,1.7499,0
1981/12/28,1.7499,1.7499,1.7499,1.7499,0
1981/12/29,1.7499,1.7499,1.7499,1.7499,0
1981/12/30,1.7499,1.7499,1.7499,1.7499,0
1981/12/31,1.7499,1.7499,1.7499,1.7499,0
1982/1/4,1.7499,1.7499,1.7499,1.7499,0
1982/1/5,1.7393,1.7393,1.7393,1.7393,-0.0061
1982/1/6,1.7481,1.7481,1.7481,1.7481,0.0051
1982/1/7,1.7481,1.7481,1.7481,1.7481,0
1982/1/8,1.7481,1.7481,1.7481,1.7481,0
1982/1/11,1.7481,1.7481,1.7481,1.7481,0
1982/1/12,1.7655,1.7655,1.7655,1.7655,0.01
1982/1/13,1.7655,1.7655,1.7655,1.7655,0
1982/1/14,1.7655,1.7655,1.7655,1.7655,0
1982/1/15,1.7761,1.7761,1.7761,1.7761,0.006
1982/1/18,1.7868,1.7868,1.7868,1.7868,0.006
1982/1/19,1.7796,1.7796,1.7796,1.7796,-0.004
1982/1/20,1.7796,1.7796,1.7796,1.7796,0
1982/1/21,1.7796,1.7796,1.7796,1.7796,0
1982/1/22,1.7796,1.7796,1.7796,1.7796,0
1982/1/25,1.7904,1.7904,1.7904,1.7904,0.0061
1982/1/26,1.7904,1.7904,1.7904,1.7904,0
1982/1/27,1.7904,1.7904,1.7904,1.7904,0
1982/1/28,1.7975,1.7975,1.7975,1.7975,0.004
1982/1/29,1.7975,1.7975,1.7975,1.7975,0
1982/2/1,1.7895,1.7895,1.7895,1.7895,-0.0045
1982/2/2,1.8083,1.8083,1.8083,1.8083,0.0105
1982/2/3,1.8155,1.8155,1.8155,1.8155,0.004
1982/2/4,1.8155,1.8155,1.8155,1.8155,0
1982/2/5,1.8155,1.8155,1.8155,1.8155,0
1982/2/8,1.8155,1.8155,1.8155,1.8155,0
1982/2/9,1.8247,1.8247,1.8247,1.8247,0.0051
1982/2/10,1.8247,1.8247,1.8247,1.8247,0
1982/2/11,1.825,1.825,1.825,1.825,0.0002
